Title,Genre,Actors,Director,Writer,Language,Box_office,Country,Released,Runtime,imdbRating,Awards,Poster
A Ted Named Gooby,"Family, Fantasy","36875         Robbie Coltrane
68873     David James Elliott
119162            Eugene Levy
Name: Actor, dtype: object",['Wilson Coneybeare'],Wilson Coneybeare,English,"3,234",Canada,17 Apr 2009,95 min,3.4,1 win.,tt1132588.jpg
Sikandar,"Crime, Drama, Mystery","['Parzan Dastur', 'Ayesha Kapoor', 'Sanjay Suri', 'Madhavan']",['Piyush Jha'],"Piyush Jha, Kumaar (lyrics)","Hindi, Urdu","1,954",India,21 Aug 2009,110 min,6.4,,tt1278447.jpg
The Canyon,Thriller,"52589           Will Patton
80052           Eion Bailey
178015    Yvonne Strahovski
Name: Actor, dtype: object",['Richard Harrah'],Steve Allrich,English,"1,785",USA,23 Oct 2009,102 min,5.9,,tt0960741.jpg
Ghosted,"Drama, Mystery","['Inga Busch', 'Huan-Ju Ko', 'Ting Ting Hu', 'Jana Schulz']",['Monika Treut'],"Astrid Ströher (screenplay), Monika Treut (screenplay)","English, German, Mandarin","1,716","Taiwan, Germany",31 Jul 2009,89 min,4.8,,tt1252595.jpg
Toy Story 3,"Animation, Adventure, Comedy","6489        Whoopi Goldberg
6665              Tom Hanks
14462           Joan Cusack
16162          R. Lee Ermey
19796        Michael Keaton
29406             Tim Allen
32032            Ned Beatty
38014        Timothy Dalton
45548           Bonnie Hunt
54714     John Ratzenberger
57422         Wallace Shawn
81913           Jodi Benson
88653           Blake Clark
101527        Teresa Ganzel
101781          Jeff Garlin
106803         Jess Harnell
107002       Estelle Harris
115320         Richard Kind
126735       Laurie Metcalf
130697       Laraine Newman
139051          Don Rickles
154221      Erik von Detten
156332         Frank Welker
164002       Kristen Schaal
Name: Actor, dtype: object",['Lee Unkrich'],"John Lasseter (story), Andrew Stanton (story), Lee Unkrich (story), Michael Arndt (screenplay)","English, Spanish","414,984,497",USA,18 Jun 2010,103 min,8.4,Won 2 Oscars. Another 56 wins & 85 nominations.,tt0435761.jpg
Iron Man 2,"Action, Adventure, Sci-Fi","7144         Samuel L. Jackson
13839              Don Cheadle
15664        Robert Downey Jr.
23514          Gwyneth Paltrow
25758            Mickey Rourke
43361               Seth Green
67760              Leslie Bibb
74016             Sam Rockwell
82265             Paul Bettany
88738              Clark Gregg
98852              Jon Favreau
105407              Tim Guinee
112425      Scarlett Johansson
118247                Stan Lee
122891               Kate Mara
144836         Garry Shandling
146348           John Slattery
172440             Olivia Munn
174399             Clare Grant
176245               Elon Musk
177221         Helena Mattsson
183123    Rachele Brooke Smith
Name: Actor, dtype: object",['Jon Favreau'],"Justin Theroux (screenplay), Stan Lee (Marvel comic book), Don Heck (Marvel comic book), Larry Lieber (Marvel comic book), Jack Kirby (Marvel comic book)","English, French, Russian","312,057,433",USA,07 May 2010,124 min,7.0,Nominated for 1 Oscar. Another 7 wins & 40 nominations.,tt1228705.jpg
The Twilight Saga: Eclipse,"Adventure, Drama, Fantasy","68951             Peter Facinelli
82549              Gil Birmingham
85760                 Billy Burke
98361              Dakota Fanning
99220             Jodelle Ferland
110261        Bryce Dallas Howard
114514              Anna Kendrick
136780               Kirsten Zien
137884           Elizabeth Reaser
148732            Kristen Stewart
156296              Michael Welch
162431               Sarah Clarke
163459             Cameron Bright
165970             Taylor Lautner
166138             Daniel Cudmore
166337                 Nikki Reed
166750          Monique Ganderton
166819                Julia Jones
170591           Robert Pattinson
170690    Catalina Sandino Moreno
171707                Kellan Lutz
171811             Booboo Stewart
172261         Christian Serratos
173045                Jack Huston
173980           Jackson Rathbone
175971              Xavier Samuel
179196              Ashley Greene
Name: Actor, dtype: object",['David Slade'],"Melissa Rosenberg (screenplay), Stephenie Meyer (novel)",English,"300,523,113",USA,30 Jun 2010,124 min,4.9,23 wins & 33 nominations.,tt1325004.jpg
Harry Potter and the Deathly Hallows: Part 1,"Adventure, Family, Fantasy","5995             Ralph Fiennes
12768     Helena Bonham Carter
18998                John Hurt
25319             Alan Rickman
27491            David Thewlis
36873          Robbie Coltrane
38523            Warwick Davis
55440       Miranda Richardson
58456            Timothy Spall
58788          Imelda Staunton
64786           Michael Gambon
70345             Jason Isaacs
86150            Michael Byrne
93799       Frances de la Tour
94392              Ned Dennehy
98183         Michelle Fairley
99015               Tom Felton
99795           Kate Fleetwood
102970         Brendan Gleeson
104959       Richard Griffiths
105084            Rupert Grint
105908           Daisy Haggard
108284            Josh Herdman
111080              Rhys Ifans
111254            Ralph Ineson
113514              Toby Jones
119441           Matthew Lewis
124183          Simon McBurney
124802           Helen McCrory
126224           Harry Melling
128295              Nick Moran
129580            Peter Mullan
130991              Bill Nighy
131920            David O'Hara
137353        Daniel Radcliffe
144551         Rade Serbedzija
145030              Fiona Shaw
147081    Geraldine Somerville
151285         Sophie Thompson
155076           Julie Walters
155749             Emma Watson
158146           Mark Williams
159837           Bonnie Wright
161491            James Phelps
161786          Clemence Poesy
165055            Natalia Tena
172987      Stanislav Yanevski
172994             Katie Leung
173994           Samuel Roukin
174186        Domhnall Gleeson
178330            Evanna Lynch
179267          Freddie Stroma
179663              Toby Regbo
181527    Jamie Campbell Bower
182402             Jessie Cave
183227            Anna Shaffer
183371         Scarlett Hefner
Name: Actor, dtype: object",['David Yates'],"Steve Kloves (screenplay), J.K. Rowling (novel)",English,"294,980,434","UK, USA",19 Nov 2010,146 min,7.7,Nominated for 2 Oscars. Another 14 wins & 50 nominations.,tt0926084.jpg
Inception,"Action, Mystery, Sci-Fi","5627         Leonardo DiCaprio
12318             Tom Berenger
13378            Michael Caine
24252       Pete Postlethwaite
43689               Lukas Haas
90955         Marion Cotillard
102086          Michael Gaston
103572    Joseph Gordon-Levitt
106683               Tom Hardy
129833          Cillian Murphy
132571            Yuji Okumoto
135468             Elliot Page
155601            Ken Watanabe
170716           Talulah Riley
Name: Actor, dtype: object",['Christopher Nolan'],Christopher Nolan,"English, Japanese, French","292,568,851","USA, UK",16 Jul 2010,148 min,8.8,Won 4 Oscars. Another 139 wins & 192 nominations.,tt1375666.jpg
Despicable Me,"Animation, Comedy, Family","11225            Julie Andrews
67343              Will Arnett
87140             Steve Carell
112357               Ken Jeong
126386          Scott Menville
144458             Jason Segel
163867              Rob Huebel
164689           Danny McBride
167032           Russell Brand
168039         Jemaine Clement
168212            Kristen Wiig
168999        Miranda Cosgrove
169149    Michaela Jill Murphy
169327            Mindy Kaling
169738           Jack McBrayer
184996            Elsie Fisher
Name: Actor, dtype: object","['Pierre Coffin', 'Chris Renaud']","Cinco Paul (screenplay), Ken Daurio (screenplay), Sergio Pablos (story)",English,"251,501,645","USA, France",09 Jul 2010,95 min,7.7,Nominated for 1 Golden Globe. Another 3 wins & 38 nominations.,tt1323594.jpg
Shrek Forever After,"Animation, Adventure, Comedy","3725           John Cleese
4209      Antonio Banderas
5660          Cameron Diaz
8374            Mike Myers
11226        Julie Andrews
22855         Eddie Murphy
73430       Mary Kay Place
106351            Jon Hamm
107584        Billie Hayes
121276          Jane Lynch
139930      Craig Robinson
156334        Frank Welker
164003      Kristen Schaal
164335           Lake Bell
Name: Actor, dtype: object",['Mike Mitchell'],"William Steig (book), Josh Klausner, Darren Lemke",English,"238,371,987",USA,21 May 2010,93 min,6.4,1 win & 12 nominations.,tt0892791.jpg
Tangled,"Animation, Adventure, Comedy","23855          Ron Perlman
46987         Richard Kiel
59537       Jeffrey Tambor
69392         Brad Garrett
76485     Paul F. Tompkins
94744        John DiMaggio
101198         M.C. Gainey
120195       Anne Lockhart
126387      Scott Menville
128194         Mandy Moore
129860        Donna Murphy
130698      Laraine Newman
150321     Fred Tatasciore
154431        Hynden Walch
164876        Zachary Levi
167896       Kari Wahlgren
Name: Actor, dtype: object","['Nathan Greno', 'Byron Howard']","Dan Fogelman (screenplay), Jacob Grimm (based upon the fairy tale \",English,"200,807,262",USA,24 Nov 2010,100 min,7.8,Nominated for 1 Oscar. Another 8 wins & 38 nominations.,tt0398286.jpg
The Karate Kid,"Action, Drama, Family","['Jaden Smith', 'Jackie Chan', 'Taraji P. Henson', 'Wenwen Han']",['Harald Zwart'],"Christopher Murphey (screenplay), Robert Mark Kamen (story)","English, Chinese","176,591,618","USA, China",11 Jun 2010,140 min,6.2,5 wins & 13 nominations.,tt1155076.jpg
TRON: Legacy,"Action, Adventure, Sci-Fi","12927       Bruce Boxleitner
12974           Jeff Bridges
77320        Christine Adams
100309           James Frain
127978    Belinda Montgomery
129834        Cillian Murphy
131190      Jeffrey Nordling
138615       Donnelly Rhodes
145178         Michael Sheen
166291          John Reardon
167941          Olivia Wilde
168276       Garrett Hedlund
173541          Beau Garrett
175751          Yaya DaCosta
178064             Matt Ward
178140          Serinda Swan
Name: Actor, dtype: object",['Joseph Kosinski'],"Edward Kitsis (screenplay), Adam Horowitz (screenplay), Edward Kitsis (story), Adam Horowitz (story), Brian Klugman (story), Lee Sternthal (story), Steven Lisberger (characters), Bonnie MacBird (characters)",English,"172,051,787",USA,17 Dec 2010,125 min,6.8,Nominated for 1 Oscar. Another 10 wins & 45 nominations.,tt1104001.jpg
True Grit,"Adventure, Drama, Western","12975         Jeff Bridges
14771           Matt Damon
34501          Josh Brolin
52912         Barry Pepper
123712    Elizabeth Marvel
146066        J.K. Simmons
174187    Domhnall Gleeson
182701    Hailee Steinfeld
Name: Actor, dtype: object","['Ethan Coen', 'Joel Coen']","Joel Coen (screenplay), Ethan Coen (screenplay), Charles Portis (novel)",English,"171,031,347",USA,22 Dec 2010,110 min,7.7,Nominated for 10 Oscars. Another 36 wins & 147 nominations.,tt1403865.jpg
Grown Ups,Comedy,"4616              Steve Buscemi
6817                Salma Hayek
40688              Adam Sandler
55592                Chris Rock
56761             Rob Schneider
67592               Maria Bello
71768            Norm MacDonald
72284               Tim Meadows
74856               David Spade
88654               Blake Clark
96418              Dennis Dugan
111982              Kevin James
120742        Jonathan Loughran
141391             Maya Rudolph
151614           Jackie Sandler
153295         Joyce Van Patten
170820              Jamie Chung
176643       China Anne McClain
180703        Ada-Nicole Sanger
181559            Madison Riley
181859            Cameron Boyce
182228              Nadji Jeter
185829    Alexys Nycole Sanchez
Name: Actor, dtype: object",['Dennis Dugan'],"Adam Sandler, Fred Wolf","English, Spanish","162,001,186",USA,25 Jun 2010,102 min,6.0,3 wins & 4 nominations.,tt1375670.jpg
Little Fockers,"Comedy, Romance","5460        Robert De Niro
6897        Dustin Hoffman
7391         Harvey Keitel
15415           Laura Dern
27070     Barbra Streisand
38190        Blythe Danner
53794            Teri Polo
59111          Ben Stiller
67235         Jessica Alba
76030          Owen Wilson
94745        John DiMaggio
107308          Kevin Hart
124385        Tom McCarthy
163870          Rob Huebel
169789        Jordan Peele
175154          Nick Kroll
177597          Olga Fonda
184861      Jacob Bertrand
Name: Actor, dtype: object",['Paul Weitz'],"John Hamburg, Larry Stuckey, Greg Glienna (characters), Mary Ruth Clarke (characters)",English,"148,383,780",USA,22 Dec 2010,98 min,5.5,3 wins & 4 nominations.,tt0970866.jpg
Megamind,"Animation, Action, Comedy","3798           Brad Pitt
59110        Ben Stiller
64275       Will Ferrell
91683        David Cross
99369           Tina Fey
146067      J.K. Simmons
150944    Justin Theroux
173745        Jonah Hill
Name: Actor, dtype: object",['Tom McGrath'],"Alan Schoolcraft, Brent Simons",English,"148,337,537",USA,05 Nov 2010,95 min,7.3,2 wins & 16 nominations.,tt1001526.jpg
The King's Speech,"Biography, Drama, History","6049               Colin Firth
12767     Helena Bonham Carter
16039            Jennifer Ehle
29637          Anthony Andrews
46135             Derek Jacobi
52749               Guy Pearce
56115            Geoffrey Rush
58455            Timothy Spall
62740             Claire Bloom
64785           Michael Gambon
80427             David Bamber
82189                 Eve Best
143372      Adrian Scarborough
Name: Actor, dtype: object",['Tom Hooper'],David Seidler (screenplay),English,"138,795,342","UK, USA, Australia",25 Dec 2010,118 min,8.0,Won 4 Oscars. Another 100 wins & 185 nominations.,tt1504320.jpg
The Last Airbender,"Action, Adventure, Family","80193      Dee Bradley Baker
92302           Cliff Curtis
122440          Aasif Mandvi
131119            John Noble
145630    M. Night Shyamalan
152051            Shaun Toub
173981      Jackson Rathbone
174706        Morgan Spector
176961         Summer Bishil
180228             Dev Patel
180829     Seychelle Gabriel
180915          Nicola Peltz
185009           Noah Ringer
Name: Actor, dtype: object",['M. Night Shyamalan'],M. Night Shyamalan,English,"131,564,731",USA,01 Jul 2010,103 min,4.2,8 wins & 12 nominations.,tt0938283.jpg
Shutter Island,"Mystery, Thriller","5628       Leonardo DiCaprio
20034           Elias Koteas
47180           Ben Kingsley
62583          Max von Sydow
65616     John Carroll Lynch
88910      Patricia Clarkson
91178         Matthew Cowles
106090    Jackie Earle Haley
119112            Ted Levine
129070        Emily Mortimer
141434          Mark Ruffalo
145815         Joseph Sikora
158218     Michelle Williams
173776    Christopher Denham
Name: Actor, dtype: object",['Martin Scorsese'],"Laeta Kalogridis (screenplay), Dennis Lehane (novel)","English, German","127,968,405",USA,19 Feb 2010,138 min,8.1,7 wins & 56 nominations.,tt1130884.jpg
The Other Guys,"Action, Comedy, Crime","6863              Anne Heche
7145       Samuel L. Jackson
9576          Brooke Shields
10474          Mark Wahlberg
19797         Michael Keaton
45949                  Ice-T
52944            Rosie Perez
64274           Will Ferrell
74704         Lindsay Sloane
86946        Bobby Cannavale
89955           Steve Coogan
112711        Dwayne Johnson
125405            Adam McKay
126316            Eva Mendes
148617         Ray Stevenson
155851      Damon Wayans Jr.
161164           Natalie Zea
163868            Rob Huebel
169780          Brett Gelman
169819            Rob Riggle
170194         Alison Becker
175401      Zoe Lister-Jones
177636            Zach Woods
180251          Ben Schwartz
183686          Andy Buckley
184324    Thomas Middleditch
Name: Actor, dtype: object",['Adam McKay'],"Adam McKay, Chris Henchy",English,"119,219,978",USA,06 Aug 2010,107 min,6.7,3 wins & 14 nominations.,tt1386588.jpg
Salt,"Action, Crime, Mystery","26084         Liev Schreiber
46363         Angelina Jolie
84508         Andre Braugher
93248        Jeremy Davidson
94944           August Diehl
97358       Chiwetel Ejiofor
162270           Corey Stoll
172296           Mike Colter
174436    Victoria Cartagena
174604          Tika Sumpter
175400      Zoe Lister-Jones
178696         Gaius Charles
182599          Yara Shahidi
Name: Actor, dtype: object",['Phillip Noyce'],Kurt Wimmer,"English, Russian, Korean","118,311,368",USA,23 Jul 2010,100 min,6.4,Nominated for 1 Oscar. Another 4 wins & 15 nominations.,tt0944835.jpg
Valentine's Day,"Comedy, Romance","9049         Julia Roberts
21228     Shirley MacLaine
31642          Kathy Bates
38963      Patrick Dempsey
40515      Hector Elizondo
48101        Queen Latifah
49655         Joe Mantegna
66314      Christine Lakin
66631        Anne Hathaway
67234         Jessica Alba
67789         Jessica Biel
69293           Jamie Foxx
69362      Jennifer Garner
71117       Ashton Kutcher
72005       Garry Marshall
77116        Bonnie Aarons
90180       Bradley Cooper
92820            Eric Dane
103814        Topher Grace
110475        Rance Howard
116712    Katherine LaNasa
120677        George Lopez
127240        Larry Miller
138265        Tracy Reiner
139739        Emma Roberts
158285       Paul Williams
164005      Kristen Schaal
165971      Taylor Lautner
177492       Aramis Knight
180273        Taylor Swift
185878        Derek Theler
Name: Actor, dtype: object",['Garry Marshall'],"Katherine Fugate (screenplay), Katherine Fugate (story), Abby Kohn (story), Marc Silverstein (story)","English, Spanish, Russian, Italian","110,476,776",USA,12 Feb 2010,125 min,5.7,6 wins & 12 nominations.,tt0817230.jpg
Black Swan,"Drama, Thriller","8747        Natalie Portman
9177           Winona Ryder
44778       Barbara Hershey
63265        Vincent Cassel
71098            Mila Kunis
123041        Mark Margolis
161673          Ksenia Solo
173074       Sebastian Stan
174372    Patrick Heusinger
183142     Janet Montgomery
Name: Actor, dtype: object",['Darren Aronofsky'],"Mark Heyman (screenplay), Andres Heinz (screenplay), John J. McLaughlin (screenplay), Andres Heinz (story)","English, French, Italian","106,952,327",USA,17 Dec 2010,108 min,8.0,Won 1 Oscar. Another 87 wins & 233 nominations.,tt0947798.jpg
Robin Hood,"Action, Adventure, Drama","5183          Russell Crowe
19113          William Hurt
33326        Cate Blanchett
62584         Max von Sydow
67197             Mark Addy
79514         Eileen Atkins
94393           Ned Dennehy
96743          Kevin Durand
98116        Giannina Facio
105034         Scott Grimes
109396        Douglas Hodge
110118         Danny Huston
111255         Ralph Ineson
113249     Mark Lewis Jones
121556    Matthew Macfadyen
124184       Simon McBurney
136886          Robert Pugh
149072          Mark Strong
165952          Oscar Isaac
174386         Denise Gough
175230           Luke Evans
178792         Ruby Bentall
179371          Lea Seydoux
183827       Arthur Darvill
186033        Stuart Martin
186198        Jessica Raine
Name: Actor, dtype: object",['Ridley Scott'],"Brian Helgeland (screenplay), Brian Helgeland (story), Ethan Reiff (story), Cyrus Voris (story)","English, French","105,219,735","USA, UK",14 May 2010,140 min,6.7,1 win & 15 nominations.,tt0955308.jpg
The Chronicles of Narnia: The Voyage of the Dawn Treader,"Adventure, Family, Fantasy","22930          Liam Neeson
129285     William Moseley
133859    Nathaniel Parker
134546          Simon Pegg
136312     Anna Popplewell
147501        Bruce Spence
149816       Tilda Swinton
168462      Skandar Keynes
172463          Ben Barnes
173268      Georgie Henley
180685        Will Poulter
184386         Laura Brent
189340     Megan Peta Hill
Name: Actor, dtype: object",['Michael Apted'],"Christopher Markus (screenplay), Stephen McFeely (screenplay), Michael Petroni (screenplay), C.S. Lewis (novel)",English,"104,383,624",USA,10 Dec 2010,113 min,6.3,Nominated for 1 Golden Globe. Another 1 win & 16 nominations.,tt0980970.jpg
The Expendables,"Action, Adventure, Thriller","7923             Dolph Lundgren
9337      Arnold Schwarzenegger
9923         Sylvester Stallone
10710              Bruce Willis
25523              Eric Roberts
25759             Mickey Rourke
48710                    Jet Li
68211        Charisma Carpenter
74938             Jason Statham
79647              Steve Austin
91543               Terry Crews
161134              David Zayas
170916              Amin Joseph
Name: Actor, dtype: object",['Sylvester Stallone'],"Dave Callaham (screenplay), Sylvester Stallone (screenplay), Dave Callaham (story)","English, Spanish","102,981,571",USA,13 Aug 2010,103 min,6.5,3 wins & 5 nominations.,tt1320253.jpg
Due Date,"Adventure, Comedy","9522           Charlie Sheen
15665      Robert Downey Jr.
20721         Juliette Lewis
37671              Jon Cryer
69292             Jamie Foxx
101326     Zach Galifianakis
114544          Mimi Kennedy
135452         Todd Phillips
142249                   RZA
154866            Matt Walsh
164690         Danny McBride
164902     Michelle Monaghan
166286    Keegan-Michael Key
Name: Actor, dtype: object",['Todd Phillips'],"Alan R. Cohen (screenplay), Alan Freedland (screenplay), Adam Sztykiel (screenplay), Todd Phillips (screenplay), Alan R. Cohen (story), Alan Freedland (story)","English, Spanish","100,448,498",USA,05 Nov 2010,95 min,6.6,6 nominations.,tt1231583.jpg
Yogi Bear,"Animation, Adventure, Comedy","4029            Dan Aykroyd
75323     Justin Timberlake
87679          Tom Cavanagh
92750           Andrew Daly
98484            Anna Faris
173478         Nate Corddry
181411          T.J. Miller
Name: Actor, dtype: object",['Eric Brevig'],"Jennifer Ventimilia, Joshua Sternin, Brad Copeland",English,"100,169,068","USA, New Zealand",17 Dec 2010,80 min,4.6,2 wins & 1 nomination.,tt1302067.jpg
Date Night,"Comedy, Crime, Romance","10475        Mark Wahlberg
20912           Ray Liotta
40958     William Fichtner
71100           Mila Kunis
85906            Bill Burr
87141         Steve Carell
99370             Tina Fey
100391        James Franco
102190         Ari Graynor
108255    Taraji P. Henson
141435        Mark Ruffalo
146123       Jimmi Simpson
153972      Gillian Vigman
161874              Common
162242    Leighton Meester
163883     Darren Le Gallo
166985        Jon Bernthal
168213        Kristen Wiig
168636         J.B. Smoove
172441         Olivia Munn
175153          Nick Kroll
183580           Gal Gadot
Name: Actor, dtype: object",['Shawn Levy'],Josh Klausner,"English, Hebrew","98,711,404",USA,09 Apr 2010,88 min,6.3,4 wins & 7 nominations.,tt1279935.jpg
The Social Network,"Biography, Drama","50089        Joseph Mazzello
64451          Jason Flemyng
71189        Wallace Langham
75322      Justin Timberlake
97314        Jesse Eisenberg
102446             John Getz
112688        Dakota Johnson
113358         Rashida Jones
119976      Barry Livingston
136323          Adina Porter
147180           Brenda Song
147241          Aaron Sorkin
171384         Max Minghella
172979          Shelby Young
173452                Melise
176313           Rooney Mara
176615       Andrew Garfield
179928          Armie Hammer
182121    Caleb Landry Jones
183858            Josh Pence
186850         Riley Voelkel
Name: Actor, dtype: object",['David Fincher'],"Aaron Sorkin (screenplay), Ben Mezrich (book)","English, French","96,917,897",USA,01 Oct 2010,120 min,7.7,Won 3 Oscars. Another 157 wins & 157 nominations.,tt1285016.jpg
Sex and the City 2,"Comedy, Drama, Romance","13524             Kim Cattrall
23595     Sarah Jessica Parker
68444            Penelope Cruz
68544            Kristin Davis
90354             John Corbett
97259          David Eigenberg
102007           Willie Garson
106480            Evan Handler
119361             Jason Lewis
122232               Art Malik
127481           Liza Minnelli
131095           Cynthia Nixon
131360              Chris Noth
137597         Andrew Rannells
156258        Michael T. Weiss
165804            Raza Jaffrey
167485         Jennifer Ferrin
169207               Alice Eve
169378             Miley Cyrus
169840             Megan Boone
186206          Condola Rashad
186725              Noah Mills
Name: Actor, dtype: object",['Michael Patrick King'],"Michael Patrick King, Candace Bushnell (characters from the book by), Darren Star (television series creator)","English, Arabic","95,328,937",USA,27 May 2010,146 min,4.3,8 wins & 8 nominations.,tt1261945.jpg
The Book of Eli,"Action, Adventure, Drama","8480                   Gary Oldman
10508            Denzel Washington
22120             Malcolm McDowell
31992               Jennifer Beals
60853                    Tom Waits
64787               Michael Gambon
71099                   Mila Kunis
85170               Chris Browning
87835              Richard Cetrone
93801           Frances de la Tour
113063                  Evan Jones
148616               Ray Stevenson
166961    Lora Martinez-Cunningham
Name: Actor, dtype: object","['Albert Hughes', 'Allen Hughes']",Gary Whitta,English,"94,822,707",USA,15 Jan 2010,118 min,6.9,3 wins & 16 nominations.,tt1037705.jpg
The Fighter,"Biography, Drama, Sport","10473      Mark Wahlberg
12063     Christian Bale
77115      Bonnie Aarons
77284          Amy Adams
116962       Jenna Lamia
118581       Melissa Leo
Name: Actor, dtype: object",['David O. Russell'],"Scott Silver (screenplay), Paul Tamasy (screenplay), Eric Johnson (screenplay), Paul Tamasy (story), Eric Johnson (story), Keith Dorrington (story)",English,"93,571,803",USA,17 Dec 2010,116 min,7.9,Won 2 Oscars. Another 69 wins & 112 nominations.,tt0964517.jpg
The Town,"Crime, Drama, Thriller","10945            Ben Affleck
24253     Pete Postlethwaite
42208          Victor Garber
90208           Chris Cooper
106187          Rebecca Hall
106349              Jon Hamm
119951          Blake Lively
138391         Jeremy Renner
156491        Titus Welliver
166057        Stephen Bishop
Name: Actor, dtype: object",['Ben Affleck'],"Peter Craig (screenplay), Ben Affleck (screenplay), Aaron Stockard (screenplay), Chuck Hogan (novel)",English,"92,173,235",USA,17 Sep 2010,125 min,7.6,Nominated for 1 Oscar. Another 9 wins & 44 nominations.,tt0840361.jpg
Prince of Persia: The Sands of Time,"Action, Adventure, Fantasy","22652       Alfred Molina
47181        Ben Kingsley
91264       Richard Coyle
105714    Jake Gyllenhaal
152076    Steve Toussaint
171178       Toby Kebbell
181743     Gemma Arterton
Name: Actor, dtype: object",['Mike Newell'],"Boaz Yakin (screenplay), Doug Miro (screenplay), Carlo Bernard (screenplay), Jordan Mechner (screen story), Jordan Mechner (video game series \",English,"90,755,643",USA,28 May 2010,116 min,6.6,9 nominations.,tt0473075.jpg
RED,"Action, Comedy, Crime","6249          Morgan Freeman
10711           Bruce Willis
12810        Ernest Borgnine
15760       Richard Dreyfuss
21655         John Malkovich
22501           Helen Mirren
23564     Mary-Louise Parker
55253            James Remar
66514              Brian Cox
85314              Greg Bryk
125740        Julian McMahon
131179       Michelle Nolden
135545       Rebecca Pidgeon
153001            Karl Urban
Name: Actor, dtype: object",['Robert Schwentke'],"Jon Hoeber (screenplay), Erich Hoeber (screenplay), Warren Ellis (graphic novel), Cully Hamner (graphic novel)","English, Russian","90,356,857",USA,15 Oct 2010,111 min,7.1,Nominated for 1 Golden Globe. Another 2 wins & 16 nominations.,tt1245526.jpg
Percy Jackson & the Olympians: The Lightning Thief,"Adventure, Family, Fantasy","4508            Pierce Brosnan
10132              Uma Thurman
12206                Sean Bean
46671         Catherine Keener
52249           Joe Pantoliano
70747       Melina Kanakaredes
89956             Steve Coogan
93625           Rosario Dawson
104163              Ona Grauer
118733            Logan Lerman
125548            Kevin McKidd
130243              Dylan Neal
138926         Julian Richings
139767           Shawn Roberts
146012          Chelan Simmons
150701         Natassia Malthe
154236    Stefanie von Pfetten
159183            Ray Winstone
162817      Brandon T. Jackson
165379              Zane Holtz
165744            Valerie Tian
166320             Sarah Smyth
167340      Alexandra Daddario
172044             Erica Cerra
175424               Jake Abel
178141            Serinda Swan
178274          Richard Harmon
179552           Andrea Brooks
179716       Merritt Patterson
182201           Annie Ilonzeh
183738      Marie Avgeropoulos
184300        Luisa d'Oliveira
186442            Alexis Knapp
Name: Actor, dtype: object",['Chris Columbus'],"Craig Titley (screenplay), Rick Riordan (novel)","English, Greek,  Ancient (to 1453)","88,761,720","UK, Canada, USA",12 Feb 2010,118 min,5.9,11 nominations.,tt0814255.jpg
Paranormal Activity 2,Horror,"104292      Sprague Grayden
169936        Molly Ephraim
179052    Katie Featherston
Name: Actor, dtype: object",['Tod Williams'],"Michael R. Perry (screenplay), Christopher Landon (screenplay), Tom Pabst (screenplay), Michael R. Perry (story), Oren Peli (film \","English, Spanish","84,749,884",USA,22 Oct 2010,91 min,5.7,1 win & 2 nominations.,tt1536044.jpg
Unstoppable,"Action, Thriller","10509     Denzel Washington
88023         Kevin Chapman
90625        Kevin Corrigan
93624        Rosario Dawson
96629            Kevin Dunn
149525         Ethan Suplee
170468          Aisha Hinds
170948           Chris Pine
175015         Jessy Schram
175681          Dylan Bruce
181407          T.J. Miller
185730         Meagan Tandy
Name: Actor, dtype: object",['Tony Scott'],Mark Bomback,English,"81,557,479",USA,12 Nov 2010,98 min,6.8,Nominated for 1 Oscar. Another 1 win & 12 nominations.,tt0477080.jpg
Eat Pray Love,"Drama, Romance","9050        Julia Roberts
31254       Javier Bardem
37644        Billy Crudup
73088       Mike O'Malley
93527         Viola Davis
100392       James Franco
112218    Richard Jenkins
151286    Sophie Thompson
171292    Ashlie Atkinson
172971         Ryan O'Nan
179572        David Lyons
Name: Actor, dtype: object",['Ryan Murphy'],"Ryan Murphy (screenplay), Jennifer Salt (screenplay), Elizabeth Gilbert (book)","English, Italian, Portuguese","80,574,010",USA,13 Aug 2010,133 min,5.7,1 win & 2 nominations.,tt0879870.jpg
The A-Team,"Action, Adventure, Comedy","22928               Liam Neeson
37886              Henry Czerny
67788              Jessica Biel
81669             Dirk Benedict
83041               Brian Bloom
85001               Anita Brown
87272              Joe Carnahan
88217                Terry Chen
90179            Bradley Cooper
106350                 Jon Hamm
125970           Gerald McRaney
143949           Dwight Schultz
148318           Maury Sterling
158697           Patrick Wilson
165079           Omari Hardwick
173163           Sharlto Copley
174611    Jennifer Cheon Garcia
Name: Actor, dtype: object",['Joe Carnahan'],"Joe Carnahan, Brian Bloom, Skip Woods, Frank Lupo (television series \","English, Spanish, French, Swahili, German","77,213,489",USA,11 Jun 2010,117 min,6.8,1 win & 4 nominations.,tt0429493.jpg
Knight and Day,"Action, Comedy, Romance","5225            Tom Cruise
5661          Cameron Diaz
66356          Jordi Molla
83120          Marc Blucas
92915            Paul Dano
93525          Viola Davis
96835             Dale Dye
123666    Olivier Martinez
143046     Peter Sarsgaard
156845        Celia Weston
165667        Maggie Grace
183579           Gal Gadot
Name: Actor, dtype: object",['James Mangold'],Patrick O'Neill,"English, German, Spanish","76,418,654",USA,23 Jun 2010,109 min,6.3,4 nominations.,tt1013743.jpg
